391	359
432	350
504	345
600	336
790	318
900	308
1200	279
1287	271
1542	253
1854	234
1956	226
2042	232
2100	230
2282	218
2689	182
2769	176
3171	143
3216	139
3641	101
3875	83
4200	53
4572	20
4798	0
5209	-36
5585	-72
5930	-101
6139	-119
6273	-129
6582	-144
6684	-145
6773	-148
7033	-163
7435	-189
7452	-190
7615	-204
7959	-217
8194	-225
8364	-233
8634	-253
9041	-277
9293	-298
9698	-333
9761	-338
10251	-377
10485	-391
10953	-430
11044	-437
11159	-444
11649	-475
12144	-514
12341	-520
12407	-522
12423	-523
12526	-529
12671	-537
13198	-573
13638	-602
13983	-627
14233	-641
14672	-672
14821	-676
14980	-681
15140	-680
15378	-688
15410	-690
15553	-697
15679	-700
15894	-707
16371	-733
16515	-738
16557	-740
16625	-741
16650	-740
16863	-712
16900	-706
17592	-637
17716	-635
17740	-635
17837	-637
18132	-647
18147	-647
18318	-641
18509	-627
18800	-613
18815	-613
18926	-613
19156	-621
19336	-628
19615	-608
19680	-601
19726	-597
19833	-590
19861	-589
20154	-599
20337	-608
20447	-613
20815	-595
20907	-588
20927	-587
21039	-583
21153	-579
21366	-575
21407	-574
21812	-580
21897	-582
22086	-585
22152	-585
22472	-576
22897	-552
23001	-548
23165	-544
23604	-554
23748	-555
23847	-554
23864	-554
24145	-549
24543	-534
24884	-517
25103	-508
25130	-507
25422	-498
25775	-502
25795	-502
26147	-491
26285	-482
26378	-477
26733	-465
26787	-465
27420	-463
27695	-463
27945	-461
28216	-464
28275	-464
28499	-460
28621	-457
28761	-452
29065	-445
29221	-444
29589	-443
29654	-443
29699	-443
30112	-435
30435	-409
30699	-398
30998	-395
31082	-394
31436	-396
31817	-395
31896	-393
32137	-390
